ndb_id,description,water (g),energy (kcal),protein (g),total fat (g),ash (g),carbohydrate (g),dietary fiber (g),sugar (g),calcium (mg),iron (mg),magnesium (mg),phosphorus (mg),potassium (mg),sodium (mg),zinc (mg),copper (mg),manganese (mg),selenium (μg),vitamin c (mg),thiamin (mg),riboflavin (mg),niacin (mg),pantothenic acid (mg),vitamin b6 (mg),total folate (μg),folic acid (μg),food folate (μg),dietary folate (μg),choline (mg),vitamin b12 (μg),vitamin a (iu),vitamin a (μg),retinol (μg),alpha-carotene (μg),beta-carotene (μg),beta-cryptoxanthin (μg),lycopene (μg),lutein + zeazanthin (μg),vitamin e (mg),vitamin d (μg),vitamin d (iu),vitamin k (μg),saturated fatty acid (g),monounsaturated fatty acids (g),polyunsaturated fatty acids (g),cholesterol (mg)
11445,"SEAWEED,KELP,RAW",81.58,43,1.68,0.56,6.61,9.57,1.3,0.60,168,2.85,121,42,89,233,1.23,0.130,0.200,0.7,3.0,0.050,0.150,0.470,0.642,0.002,180,0,180,180,12.8,0.00,116,6,0,0,70,0,0,0,0.87,0.0,0,66.0,0.247,0.098,0.047,0
11446,"SEAWEED,LAVER,RAW",85.03,35,5.81,0.28,3.77,5.11,0.3,0.49,70,1.80,2,58,356,48,1.05,0.264,0.988,0.7,39.0,0.098,0.446,1.470,0.521,0.159,146,0,146,146,10.4,0.00,5202,260,0,0,3121,0,0,0,1.00,0.0,0,4.0,0.061,0.025,0.110,0
11447,"SESBANIA FLOWER,RAW",91.58,27,1.28,0.04,0.38,6.73,,,19,0.84,12,30,184,15,,,,0.9,73.0,0.083,0.081,0.430,,,102,0,102,102,,0.00,0,0,0,,,,,,,0.0,0,,,,,0
11448,"SESBANIA FLOWER,CKD,STMD,WO/SALT",93.30,22,1.14,0.05,0.28,5.23,,,22,0.56,12,21,107,11,,,,0.7,37.0,0.048,0.043,0.250,,,57,0,57,57,,0.00,0,0,0,,,,,,,0.0,0,,,,,0
11453,"SOYBEANS,MATURE SEEDS,SPROUTED,CKD,STMD",79.45,81,8.47,4.45,1.10,6.53,0.8,0.52,59,1.31,60,135,355,10,1.04,0.330,0.710,0.6,8.3,0.205,0.053,1.092,0.743,0.105,80,0,80,80,41.2,0.00,40,2,0,12,12,12,0,0,0.21,0.0,0,70.6,0.617,1.009,2.513,0
11457,"SPINACH,RAW",91.40,23,2.86,0.39,1.72,3.63,2.2,0.42,99,2.71,79,49,558,79,0.53,0.130,0.897,1.0,28.1,0.078,0.189,0.724,0.065,0.195,194,0,194,194,19.3,0.00,9377,469,0,0,5626,0,0,12198,2.03,0.0,0,482.9,0.063,0.010,0.165,0
11458,"SPINACH,CKD,BLD,DRND,WO/ SALT",91.21,23,2.97,0.26,1.81,3.75,2.4,0.43,136,3.57,87,56,466,70,0.76,0.174,0.935,1.5,9.8,0.095,0.236,0.490,0.145,0.242,146,0,146,146,19.7,0.00,10481,524,0,0,6288,0,0,11308,2.08,0.0,0,493.6,0.043,0.006,0.109,0
11463,"SPINACH,FRZ,CHOPD OR LEAF,UNPREP",90.17,29,3.63,0.57,1.43,4.21,2.9,0.65,129,1.89,75,49,346,74,0.56,0.144,0.704,6.0,5.5,0.094,0.224,0.507,0.094,0.172,145,0,145,145,22.1,0.00,11726,586,0,0,7035,0,0,12651,2.90,0.0,0,372.0,0.041,0.000,0.082,0
11464,"SPINACH,FRZ,CHOPD OR LEAF,CKD,BLD,DRND,WO/SALT",88.94,34,4.01,0.87,1.39,4.80,3.7,0.51,153,1.96,82,50,302,97,0.49,0.161,0.717,5.5,2.2,0.078,0.176,0.439,0.075,0.136,121,0,121,121,24.8,0.00,12061,603,0,0,7237,0,0,15690,3.54,0.0,0,540.7,0.157,0.000,0.371,0
11473,"SQUASH,SMMR,CROOKNECK&STRAIGHTNECK,FRZ,UNPREP",93.66,20,0.83,0.14,0.58,4.80,1.2,,18,0.48,23,35,209,5,0.37,0.085,0.162,0.2,6.4,0.040,0.048,0.400,0.088,0.088,12,0,12,12,,0.00,279,14,0,,,,,,,0.0,0,,0.029,0.011,0.060,0
11476,"SQUASH,SMMR,SCALLOP,CKD,BLD,DRND,WO/SALT",95.00,16,1.03,0.17,0.50,3.30,1.9,1.50,15,0.33,19,28,140,1,0.24,0.083,0.128,0.2,10.8,0.051,0.025,0.464,0.079,0.085,21,0,21,21,6.2,0.00,85,4,0,0,51,0,0,250,0.12,0.0,0,3.5,0.035,0.013,0.072,0
11478,"SQUASH,SMMR,ZUCCHINI,INCL SKN,CKD,BLD,DRND,WO/SALT",95.22,15,1.14,0.36,0.59,2.69,1.0,1.71,18,0.37,19,37,264,3,0.33,0.052,0.173,0.2,12.9,0.035,0.024,0.510,0.288,0.080,28,0,28,28,9.4,0.00,1117,56,0,0,670,0,0,1150,0.12,0.0,0,4.2,0.072,0.029,0.151,0
11483,"SQUASH,WNTR,ACORN,CKD,BKD,WO/SALT",82.90,56,1.12,0.14,1.26,14.58,4.4,,44,0.93,43,45,437,4,0.17,0.086,0.242,0.7,10.8,0.167,0.013,0.881,0.504,0.194,19,0,19,19,,0.00,428,21,0,,,,,,,0.0,0,,0.029,0.010,0.059,0
11484,"SQUASH,WNTR,ACORN,CKD,BLD,MSHD,WO/SALT",89.70,34,0.67,0.08,0.76,8.79,2.6,,26,0.56,26,27,263,3,0.11,0.052,0.146,0.4,6.5,0.100,0.008,0.531,0.303,0.117,11,0,11,11,,0.00,817,41,0,0,490,0,0,66,,0.0,0,,0.017,0.006,0.035,0
11485,"SQUASH,WNTR,BUTTERNUT,RAW",86.41,45,1.00,0.10,0.80,11.69,2.0,2.20,48,0.70,34,33,352,4,0.15,0.072,0.202,0.5,21.0,0.100,0.020,1.200,0.400,0.154,27,0,27,27,,0.00,10630,532,0,834,4226,3471,0,0,1.44,0.0,0,1.1,0.021,0.007,0.042,0
11486,"SQUASH,WNTR,BUTTERNUT,CKD,BKD,WO/SALT",87.80,40,0.90,0.09,0.72,10.49,3.2,1.97,41,0.60,29,27,284,4,0.13,0.065,0.172,0.5,15.1,0.072,0.017,0.969,0.359,0.124,19,0,19,19,,0.00,11155,558,0,1130,4570,3116,0,0,1.29,0.0,0,1.0,0.019,0.007,0.038,0
11488,"SQUASH,WNTR,BUTTERNUT,FRZ,CKD,BLD,WO/SALT",87.80,39,1.23,0.07,0.86,10.05,,,19,0.58,9,14,133,2,0.12,0.036,0.173,0.5,3.5,0.050,0.039,0.464,0.154,0.069,16,0,16,16,,0.00,3339,167,0,,,,,,,0.0,0,,0.014,0.005,0.029,0
11503,"SWAMP CABBAGE,(SKUNK CABBAGE),RAW",92.47,19,2.60,0.20,1.60,3.14,2.1,,77,1.67,71,39,312,113,0.18,0.023,0.160,0.9,55.0,0.030,0.100,0.900,0.141,0.096,57,0,57,57,,0.00,6300,315,0,,,,,,,0.0,0,,,,,0
11504,"SWAMP CABBAGE (SKUNK CABBAGE),CKD,BLD,DRND,WO/ SALT",92.93,20,2.08,0.24,1.05,3.70,1.9,,54,1.32,30,42,284,122,0.16,0.021,0.143,0.9,16.0,0.050,0.080,0.500,0.126,0.081,35,0,35,35,,0.00,5200,260,0,,,,,,,0.0,0,,0.039,0.007,0.100,0
11505,"SWEET POTATO LEAVES,RAW",86.81,42,2.49,0.51,1.36,8.82,5.3,,78,0.97,70,81,508,6,,,,0.9,11.0,0.156,0.345,1.130,0.225,0.190,,0,1,1,,0.00,3778,189,0,42,2217,58,0,14720,,0.0,0,302.2,0.111,0.020,0.228,0
11508,"SWEET POTATO,CKD,BKD IN SKN,FLESH,WO/ SALT",75.78,90,2.01,0.15,1.35,20.71,3.3,6.48,38,0.69,27,54,475,36,0.32,0.161,0.497,0.2,19.6,0.107,0.106,1.487,0.884,0.286,6,0,6,6,13.1,0.00,19218,961,0,43,11509,0,0,0,0.71,0.0,0,2.3,0.052,0.002,0.092,0
11516,"SWEET POTATO,FRZ,UNPREP",74.89,96,1.71,0.18,1.00,22.22,1.7,,37,0.53,22,45,365,6,0.31,0.177,0.665,0.6,13.3,0.067,0.051,0.597,0.515,0.177,21,0,21,21,,0.00,10367,518,0,,6220,,,,,0.0,0,,0.039,0.007,0.080,0
11520,"TARO LEAVES,RAW",85.66,42,4.98,0.74,1.92,6.70,3.7,3.01,107,2.25,45,60,648,3,0.41,0.270,0.714,0.9,52.0,0.209,0.456,1.513,0.084,0.146,126,0,126,126,12.8,0.00,4825,241,0,0,2895,0,0,1932,2.02,0.0,0,108.6,0.151,0.060,0.307,0
11521,"TARO LEAVES,CKD,STMD,WO/SALT",92.15,24,2.72,0.41,0.70,4.02,2.0,,86,1.18,20,27,460,2,0.21,0.140,0.371,0.9,35.5,0.139,0.380,1.267,0.044,0.072,48,0,48,48,21.0,0.00,4238,212,0,,,,,,,0.0,0,,0.083,0.033,0.168,0
11522,"TARO SHOOTS,RAW",95.82,11,0.92,0.09,0.85,2.32,,,12,0.60,8,28,332,1,0.51,0.088,0.122,0.9,21.0,0.040,0.050,0.800,0.075,0.111,3,0,3,3,,0.00,50,3,0,,,,,,,0.0,0,,0.018,0.007,0.037,0
11523,"TARO SHOOTS,CKD,WO/SALT",95.30,14,0.73,0.08,0.70,3.20,,,14,0.41,8,26,344,2,0.54,0.094,0.130,1.0,18.9,0.038,0.053,0.810,0.076,0.112,3,0,3,3,,0.00,51,3,0,,,,,,,0.0,0,,0.016,0.006,0.033,0
11525,"TARO,TAHITIAN,RAW",87.96,44,2.79,0.97,1.38,6.91,,,129,1.30,47,45,606,50,0.09,0.071,0.157,0.7,96.0,0.062,0.244,0.995,0.124,0.116,9,0,9,9,,0.00,2045,102,0,,,,,,,0.0,0,,0.197,0.078,0.400,0
11526,"TARO,TAHITIAN,CKD,WO/SALT",86.46,44,4.16,0.68,1.85,6.85,,,149,1.56,51,67,623,54,0.10,0.076,0.168,0.8,38.0,0.044,0.198,0.480,0.126,0.117,7,0,7,7,,0.00,1764,88,0,,,,,,,0.0,0,,0.139,0.055,0.282,0
11559,"TOMATO PRODUCTS,CND,SAU,W/TOMATO TIDBITS",89.09,32,1.32,0.39,2.11,7.09,1.4,,10,0.68,20,42,373,15,0.19,0.014,0.220,0.6,21.5,0.073,0.097,1.183,0.219,0.155,9,0,9,9,,0.00,801,40,0,,,,,,,0.0,0,,0.055,0.058,0.157,0
11563,"TREE FERN,CKD,WO/SALT",88.60,40,0.29,0.07,0.06,10.98,3.7,,8,0.16,5,4,5,5,0.31,0.202,0.539,0.9,30.0,0.000,0.300,3.500,0.063,0.179,15,0,15,15,,0.00,200,10,0,,,,,,,0.0,0,,0.009,0.005,0.034,0
11566,"TURNIPS,FROZEN,UNPREPARED",95.67,16,1.04,0.16,0.19,2.94,1.8,,23,0.70,10,20,137,25,0.14,0.045,0.071,0.4,4.4,0.030,0.020,0.400,0.106,0.048,8,0,8,8,,0.00,26,1,0,,,,,,,0.0,0,,0.017,0.010,0.085,0
11568,"TURNIP GREENS,RAW",89.67,32,1.50,0.30,1.40,7.13,3.2,0.81,190,1.10,31,42,296,40,0.19,0.350,0.466,1.2,60.0,0.070,0.100,0.600,0.380,0.263,194,0,194,194,,0.00,11587,579,0,0,6952,0,0,12825,2.86,0.0,0,251.0,0.070,0.020,0.120,0
11569,"TURNIP GRNS,CKD,BLD,DRND,WO/SALT",93.20,20,1.14,0.23,1.07,4.36,3.5,0.53,137,0.80,22,29,203,29,0.14,0.253,0.337,0.9,27.4,0.045,0.072,0.411,0.274,0.180,118,0,118,118,0.3,0.00,7625,381,0,0,4575,0,0,8440,1.88,0.0,0,367.6,0.053,0.015,0.091,0
11574,"TURNIP GRNS,FRZ,UNPREP",92.93,22,2.47,0.31,0.62,3.67,2.5,,118,1.51,27,27,184,12,0.17,0.057,0.369,0.9,26.8,0.044,0.091,0.383,0.140,0.100,74,0,74,74,,0.00,6184,309,0,,,,,,,0.0,0,,0.073,0.020,0.125,0
11575,"TURNIP GRNS,FRZ,CKD,BLD,DRND,WO/SALT",90.40,29,3.35,0.42,0.85,4.98,3.4,0.75,152,1.94,26,34,224,15,0.41,0.150,0.475,1.2,21.8,0.054,0.074,0.468,0.069,0.067,39,0,39,39,0.5,0.00,10765,538,0,0,6459,0,0,11915,2.66,0.0,0,518.9,0.099,0.028,0.170,0
11576,"TURNIP GRNS&TURNIPS,FRZ,UNPREP",93.13,21,2.46,0.19,0.83,3.39,2.4,,114,1.63,18,24,82,18,0.16,0.051,0.220,0.9,25.8,0.044,0.088,0.388,0.123,0.074,41,0,41,41,,0.00,6108,305,0,,,,,,,0.0,0,,0.032,0.012,0.088,0
11577,"TURNIP GRNS&TURNIPS,FRZ,CKD,BLD,DRND,WO/SALT",91.04,35,2.99,0.38,0.74,4.85,3.1,1.07,128,1.75,24,32,216,19,0.37,0.133,0.400,1.1,18.2,0.050,0.065,0.486,0.083,0.067,33,0,33,33,2.1,0.00,8612,431,0,0,5167,0,0,9532,2.13,0.0,0,415.1,0.085,0.024,0.160,0
11587,"VINESPINACH,(BASELLA),RAW",93.10,19,1.80,0.30,1.40,3.40,,,109,1.20,65,52,510,24,0.43,0.107,0.735,0.8,102.0,0.050,0.155,0.500,0.053,0.240,140,0,140,140,,0.00,8000,400,0,,,,,,,0.0,0,,,,,0
11591,"WATERCRESS,RAW",95.11,11,2.30,0.10,1.20,1.29,0.5,0.20,120,0.20,21,60,330,41,0.11,0.077,0.244,0.9,43.0,0.090,0.120,0.200,0.310,0.129,9,0,9,9,9.0,0.00,3191,160,0,0,1914,0,0,5767,1.00,0.0,0,250.0,0.027,0.008,0.035,0
11596,"WINGED BNS,IMMAT SEEDS,CKD,BLD,DRND,WO/SALT",90.11,38,5.31,0.66,0.71,3.21,,,61,1.09,30,25,274,4,0.28,0.037,0.158,1.1,9.8,0.086,0.072,0.652,0.041,0.082,35,0,35,35,,0.00,88,4,0,,,,,,,0.0,0,,0.181,0.189,0.142,0
11597,"WINGED BEAN LEAVES,RAW",76.85,74,5.85,1.10,2.10,14.10,,,224,4.00,8,63,176,9,1.28,0.456,1.367,0.9,45.0,0.833,0.602,3.472,0.136,0.232,16,0,16,16,,0.00,8090,405,0,,,,,,,0.0,0,,0.272,0.285,0.213,0
11602,"YAM,CKD,BLD,DRND,OR BKD,WO/SALT",70.13,116,1.49,0.14,0.76,27.48,3.9,0.49,14,0.52,18,49,670,8,0.20,0.152,0.371,0.7,12.1,0.095,0.028,0.552,0.311,0.228,16,0,16,16,16.2,0.00,122,6,0,0,73,0,0,0,0.34,0.0,0,2.3,0.029,0.005,0.060,0
11604,"YAMBEAN (JICAMA),CKD,BLD,DRND,WO/SALT",90.07,38,0.72,0.09,0.30,8.82,,,11,0.57,11,16,135,4,0.15,0.046,0.057,0.7,14.1,0.017,0.028,0.190,0.121,0.040,8,0,8,8,,0.00,19,1,0,,,,,,,0.0,0,,,,,0
11613,"BORAGE,RAW",93.00,21,1.80,0.70,1.44,3.06,,,93,3.30,52,53,470,80,0.20,0.130,0.349,0.9,35.0,0.060,0.150,0.900,0.041,0.084,13,0,13,13,,0.00,4200,210,0,,,,,,,0.0,0,,0.170,0.211,0.109,0
11614,"BORAGE,CKD,BLD,DRND,WO/SALT",91.88,25,2.09,0.81,1.67,3.55,,,102,3.64,57,55,491,88,0.22,0.143,0.385,0.9,32.5,0.059,0.165,0.940,0.045,0.088,10,0,10,10,,0.00,4385,219,0,,,,,,,0.0,0,,0.197,0.245,0.127,0
11615,"CHIVES,FREEZE-DRIED",2.00,311,21.20,3.50,9.01,64.29,26.2,,813,20.00,640,518,2960,70,5.12,0.686,1.350,9.4,660.0,0.900,1.500,5.900,2.106,1.996,108,0,108,108,,0.00,68300,3415,0,,,,,,,0.0,0,,0.591,0.490,1.369,0
11616,"DOCK,RAW",93.00,22,2.00,0.70,1.10,3.20,2.9,,44,2.40,103,63,390,4,0.20,0.131,0.349,0.9,48.0,0.040,0.100,0.500,0.041,0.122,13,0,13,13,,0.00,4000,200,0,,,,,,,0.0,0,,,,,0
11617,"DOCK,CKD,BLD,DRND,WO/SALT",93.60,20,1.83,0.64,1.01,2.93,2.6,,38,2.08,89,52,321,3,0.17,0.114,0.303,0.9,26.3,0.034,0.086,0.411,0.036,0.100,8,0,8,8,,0.00,3474,174,0,,,,,,,0.0,0,,,,,0
11620,"DRUMSTICK PODS,RAW",88.20,37,2.10,0.20,0.97,8.53,3.2,,30,0.36,45,50,461,42,0.45,0.084,0.259,0.7,141.0,0.053,0.074,0.620,0.794,0.120,44,0,44,44,,0.00,74,4,0,,,,,,,0.0,0,,0.033,0.102,0.003,0
11621,"DRUMSTICK PODS,CKD,BLD,DRND,WO/ SALT",88.42,36,2.09,0.19,1.12,8.18,4.2,,20,0.45,42,49,457,43,0.42,0.078,0.241,0.7,97.0,0.046,0.068,0.590,0.701,0.112,30,0,30,30,,0.00,70,4,0,,,,,,,0.0,0,,0.031,0.097,0.003,0
11622,"KALE,SCOTCH,RAW",87.00,42,2.80,0.60,1.28,8.32,1.7,,205,3.00,88,62,450,70,0.37,0.243,0.648,0.9,130.0,0.070,0.060,1.300,0.076,0.227,28,0,28,28,,0.00,3100,155,0,,,,,,,0.0,0,,0.078,0.045,0.289,0
11623,"KALE,SCOTCH,CKD,BLD,DRND,WO/SALT",91.20,28,1.90,0.41,0.87,5.63,1.2,,132,1.93,57,38,274,45,0.24,0.156,0.417,0.9,52.8,0.040,0.039,0.792,0.048,0.139,13,0,13,13,,0.00,1994,100,0,,,,,,,0.0,0,,0.053,0.030,0.196,0
11624,"LEEKS,(BULB&LOWER-LEAF PORTION),FREEZE-DRIED",2.00,321,15.20,2.10,6.05,74.65,10.4,,360,7.60,161,346,2400,35,0.66,0.657,2.634,5.7,118.0,0.800,0.400,3.500,0.767,1.209,366,0,366,366,,0.00,277,14,0,,,,,,,0.0,0,,0.279,0.029,1.161,0
11625,"PARSLEY,FREEZE-DRIED",2.00,271,31.30,5.20,19.12,42.38,32.7,,176,53.90,372,548,6300,391,6.11,0.459,1.338,32.3,149.0,1.040,2.260,10.400,2.516,1.375,194,0,194,194,,0.00,63240,,,,,,,,,0.0,0,,,,,0
11637,"RADISHES,WHITE ICICLE,RAW",95.37,14,1.10,0.10,0.80,2.63,1.4,,27,0.80,9,28,280,16,0.13,0.099,0.033,0.7,29.0,0.030,0.020,0.300,0.184,0.075,14,0,14,14,,0.00,0,0,0,,,,,,,0.0,0,,0.030,0.016,0.045,0
11641,"SQUASH,SMMR,ALL VAR,RAW",94.64,16,1.21,0.18,0.62,3.35,1.1,2.20,15,0.35,17,38,262,2,0.29,0.051,0.175,0.2,17.0,0.048,0.142,0.487,0.155,0.218,29,0,29,29,6.7,0.00,200,10,0,0,120,0,0,2125,0.12,0.0,0,3.0,0.044,0.016,0.089,0
11663,"SEAWEED,AGAR,DRIED",8.68,306,6.21,0.30,3.93,80.88,7.7,2.97,625,21.40,770,52,1125,102,5.80,0.610,4.300,7.4,0.0,0.010,0.222,0.202,3.018,0.303,580,0,580,580,63.3,0.00,0,0,0,0,0,0,0,0,5.00,0.0,0,24.4,0.061,0.027,0.102,0
11666,"SEAWEED,SPIRULINA,RAW",90.67,26,5.92,0.39,0.60,2.42,0.4,0.30,12,2.79,19,11,127,98,0.20,0.597,0.186,0.7,0.9,0.222,0.342,1.196,0.325,0.034,9,0,9,9,6.5,0.00,56,3,0,0,33,0,0,0,0.49,0.0,0,2.5,0.135,0.034,0.106,0
11667,"SEAWEED,SPIRULINA,DRIED",4.68,290,57.47,7.72,6.23,23.90,3.6,3.10,120,28.50,195,118,1363,1048,2.00,6.100,1.900,7.2,10.1,2.380,3.670,12.820,3.480,0.364,94,0,94,94,66.0,0.00,570,29,0,0,342,0,0,0,5.00,0.0,0,25.5,2.650,0.675,2.080,0
11675,"POTATOES,MICROWAVED,CKD IN SKN,FLESH&SKN,WO/SALT",72.04,105,2.44,0.10,1.18,24.24,2.3,,11,1.24,27,105,447,8,0.36,0.334,0.292,0.4,15.1,0.120,0.032,1.714,0.454,0.344,12,0,12,12,,0.00,0,0,0,,,,,,,0.0,0,,0.026,0.002,0.043,0
11676,"RADISH SEEDS,SPROUTED,RAW",90.07,43,3.81,2.53,0.53,3.60,,,51,0.86,44,113,86,6,0.56,0.120,0.260,0.6,28.9,0.102,0.103,2.853,0.733,0.285,95,0,95,95,,0.00,391,20,0,,,,,,,0.0,0,,0.767,0.419,1.141,0
11695,"TOMATOES,ORANGE,RAW",94.78,16,1.16,0.19,0.69,3.18,0.9,,5,0.47,8,29,212,42,0.14,0.062,0.088,0.4,16.0,0.046,0.034,0.593,0.186,0.060,29,0,29,29,,0.00,1496,75,0,,,,,,,0.0,0,,0.025,0.028,0.076,0
11696,"TOMATOES,YELLOW,RAW",95.28,15,0.98,0.26,0.50,2.98,0.7,,11,0.49,12,36,258,23,0.28,0.101,0.120,0.4,9.0,0.041,0.047,1.179,0.110,0.056,30,0,30,30,,0.00,0,0,0,,,,,,,0.0,0,,0.036,0.040,0.108,0
11697,"ARROWROOT,RAW",80.75,65,4.24,0.20,1.42,13.39,1.3,,6,2.22,25,98,454,26,0.63,0.121,0.174,0.7,1.9,0.143,0.059,1.693,0.292,0.266,338,0,338,338,,0.00,19,1,0,0,11,0,,,,0.0,0,,0.039,0.004,0.092,0
11698,"CHRYSANTHEMUM LEAVES,RAW",91.40,24,3.36,0.56,1.67,3.01,3.0,,117,2.30,32,54,567,118,0.71,0.137,0.943,0.3,1.4,0.130,0.144,0.531,0.221,0.176,177,0,177,177,,0.00,1870,94,0,,,,,,,0.0,0,,,,,0
11700,"AMARANTH LEAVES,CKD,BLD,DRND,W/SALT",91.49,21,2.11,0.18,2.11,4.11,,,209,2.26,55,72,641,257,0.88,0.158,0.861,0.9,41.1,0.020,0.134,0.559,0.062,0.177,57,0,57,57,,0.00,2770,139,0,,,,,,,0.0,0,,0.050,0.041,0.080,0
11707,"ASPARAGUS,CND,NO SALT,SOL&LIQUIDS",94.32,15,1.80,0.18,1.22,2.48,1.0,1.00,15,0.60,9,38,172,26,0.47,0.107,0.152,1.6,16.5,0.054,0.089,0.851,0.124,0.098,85,0,85,85,,0.00,776,39,0,0,465,0,23,595,0.29,0.0,0,39.0,0.041,0.006,0.079,0
11710,"BALSAM-PEAR (BITTER GOURD),LEAFY TIPS,CKD,BLD,DRND,W/SALT",88.69,32,3.60,0.20,1.35,6.16,1.9,1.04,42,1.02,94,77,602,249,0.30,0.201,0.536,0.9,55.6,0.147,0.282,0.995,0.060,0.760,88,0,88,88,21.0,0.00,2416,121,0,0,1450,0,0,2638,1.45,0.0,0,163.1,,,,0
11715,"LIMA BNS,IMMAT SEEDS,CND,NO SALT,SOL&LIQUIDS",81.17,71,4.07,0.29,1.14,13.33,3.6,0.93,28,1.61,34,71,285,4,0.64,0.162,0.700,1.1,8.7,0.029,0.043,0.532,0.095,0.062,16,0,16,16,25.3,0.00,150,8,0,0,90,0,0,0,0.29,0.0,0,3.6,0.066,0.016,0.139,0
11726,"BEANS,SNAP,GRN,CND,NO SALT,SOL&LIQUIDS",94.68,15,0.80,0.10,0.92,3.50,1.5,,24,0.90,13,19,92,14,0.20,0.070,0.335,0.2,3.4,0.025,0.051,0.200,0.106,0.030,18,0,18,18,,0.00,321,16,0,,,,,,0.14,0.0,0,,0.023,0.004,0.052,0
11728,"BEANS,SNAP,YEL,CND,NO SALT,SOL&LIQUIDS",94.68,15,0.80,0.10,0.92,3.50,1.5,0.62,24,0.90,13,19,98,14,0.20,0.070,0.335,0.2,4.0,0.025,0.051,0.200,0.106,0.030,18,0,18,18,8.3,0.00,83,4,0,0,50,0,0,363,0.23,0.0,0,31.2,0.023,0.004,0.052,0
11739,"BROCCOLI,LEAVES,RAW",90.69,28,2.98,0.35,0.92,5.06,2.3,1.48,48,0.88,25,66,325,27,0.40,0.045,0.229,3.0,93.2,0.065,0.119,0.638,0.535,0.159,71,0,71,71,,0.00,16000,,0,,,,,,,0.0,0,,0.054,0.024,0.167,0
11740,"BROCCOLI,FLOWER CLUSTERS,RAW",90.69,28,2.98,0.35,0.92,5.06,2.3,1.48,48,0.88,25,66,325,27,0.40,0.045,0.229,3.0,93.2,0.065,0.119,0.638,0.535,0.159,71,0,71,71,,0.00,3000,,0,,,,,,,0.0,0,,0.054,0.024,0.167,0
11741,"BROCCOLI,STALKS,RAW",90.69,28,2.98,0.35,0.92,5.24,,,48,0.88,25,66,325,27,0.40,0.045,0.229,3.0,93.2,0.065,0.119,0.638,0.535,0.159,71,0,71,71,,0.00,400,20,0,,,,,,,0.0,0,,0.054,0.024,0.167,0
11749,"CABBAGE,COMMON,FRESHLY HARVEST,RAW",92.52,24,1.21,0.18,0.72,5.37,2.3,,47,0.56,15,23,246,18,0.18,0.023,0.159,0.9,51.0,0.050,0.030,0.300,0.140,0.095,57,0,57,57,,0.00,126,6,0,,,,,,,0.0,0,,0.023,0.013,0.087,0
11750,"CABBAGE,COMMON (DANISH,DOMESTIC,&POINTED TYPES),STORED,RAW",92.52,24,1.21,0.18,0.72,5.37,2.3,,47,0.56,15,23,246,18,0.18,0.023,0.159,0.9,42.0,0.050,0.030,0.300,0.140,0.095,57,0,57,57,,0.00,126,6,0,,,,,,,0.0,0,,0.023,0.013,0.087,0
11769,"COLLARDS,FRZ,CHOPD,CKD,BLD,DRND,W/SALT",88.47,36,2.97,0.41,1.05,7.10,2.8,0.57,210,1.12,30,27,251,286,0.27,0.055,0.663,1.5,26.4,0.047,0.115,0.635,0.115,0.114,76,0,76,76,45.1,0.00,11493,575,0,127,6818,28,0,10898,1.25,0.0,0,623.2,0.040,,,0
11786,"DRUMSTICK LEAVES,CKD,BLD,DRND,W/ SALT",81.65,60,5.27,0.93,1.00,11.15,2.0,1.00,151,2.32,34,67,344,245,0.49,0.086,0.868,0.9,31.0,0.222,0.509,1.995,0.102,0.929,23,0,23,23,21.0,0.00,7013,351,0,0,4208,0,0,1747,0.10,0.0,0,108.0,,,,0
11789,"JUTE,POTHERB,CKD,BLD,DRND,W/SALT",87.15,37,3.68,0.20,1.68,7.29,2.0,1.00,211,3.14,62,72,550,247,0.79,0.255,0.123,0.9,33.0,0.091,0.192,0.890,0.072,0.570,104,0,104,104,12.8,0.00,5185,259,0,0,3111,0,0,1747,0.07,0.0,0,108.0,0.030,0.014,0.096,0
11854,"SPINACH,CKD,BLD,DRND,W/SALT",91.21,23,2.97,0.26,1.81,3.75,2.4,0.43,136,3.57,87,56,466,306,0.76,0.174,0.935,1.5,9.8,0.095,0.236,0.490,0.145,0.242,146,0,146,146,19.7,0.00,10481,524,0,0,6288,0,0,11308,2.08,0.0,0,493.6,0.043,0.006,0.109,0
11855,"SPINACH,CND,NO SALT,SOL&LIQUIDS",93.22,19,2.11,0.37,1.38,2.92,2.2,0.33,83,1.58,56,32,230,75,0.42,0.116,0.493,1.2,13.5,0.018,0.106,0.271,0.038,0.080,58,0,58,58,15.2,0.00,8084,404,0,0,4850,0,0,8722,1.60,0.0,0,380.8,0.060,0.010,0.155,0
11856,"SPINACH,FRZ,CHOPD OR LEAF,CKD,BLD,DRND,W/SALT",88.94,34,4.01,0.87,1.39,4.80,3.7,0.51,153,1.96,82,50,302,322,0.49,0.161,0.717,5.5,2.2,0.078,0.176,0.439,0.075,0.136,121,0,121,121,24.8,0.00,12061,603,0,0,7237,0,0,15690,3.54,0.0,0,540.7,0.036,0.000,0.086,0
11877,"SWEET POTATO,FRZ,CKD,BKD,W/ SALT",73.70,100,1.71,0.12,1.07,23.40,1.8,,35,0.54,21,44,377,244,0.30,0.183,0.665,0.6,9.1,0.066,0.056,0.555,0.560,0.186,22,0,22,22,,0.00,16410,821,0,,,,,,,0.0,0,,0.026,0.005,0.053,0
